"#","uri","name"
"0","spotify:track:5eGnVU7C3mRbXMergmSz9Q","Et bonjour a toi lartiste"
"1","spotify:track:3wfawPKNIlf7M9s46ME2Q5","Toi"
"2","spotify:track:6gZvvkOUTl33NDsbi3lzKr","Let Me Be the One"
"3","spotify:track:0E19RAvUkhjMM0rdICkidE","Save Your Kisses for Me"
"4","spotify:track:3Yw8g06nmBa99FGgzsPbPh","My Little World"
"5","spotify:track:29xVq0OlVUR1aXQhflX75E","Une petite francaise"
"6","spotify:track:7Hy0CZtFcREucLDXB5jp6m","Loiseau et lenfant"
"7","spotify:track:24g7Wa2aTohgmuJVP4Gxia","Dschinghis Khan"
"8","spotify:track:2YDMHFV05yjkhAbh2gDm6B","Su cancion"
"9","spotify:track:43WxDdzUmpiZZV45RLog5g","Amsterdam"
"10","spotify:track:3ta02cB4LPfhru6F9D4CjW","Whats Another Year"
"11","spotify:track:1dqKwHVYD0NFiHtBspL9bw","Horoscopes"
"12","spotify:track:0Azn2vpP3Sbs8qAG8e1KUc","Making Your Mind Up"
"13","spotify:track:5fENydWwRacRle4hHDeSBF","Mono i agapi   "
"14","spotify:track:6Pw55XhF8gJs53qDi23St2","Hora "
"15","spotify:track:75G6zxISPyxlvJerKubyyx","Ein bisschen Frieden"
"16","spotify:track:1FndLKa7Gs9S8WKVZuq4RL","Framling"
"17","spotify:track:5UAhBZtfdgccV3nQGfyyWy","Dzuli "
"18","spotify:track:2cfPajlY9Uj5kb0A99URGs","Rucksicht"
"19","spotify:track:4NzirQ4BrNkVaPEla2ipG4","Diggiloo diggiley"
"20","spotify:track:3K0rUw4z0khdNg4MiSIHB4","Lady Lady"
"21","spotify:track:2s0NUFo02OS4aOMBmjczQg","Avanti la vie"
"22","spotify:track:7t6evnQEbNuDj7O5CtB0IY","Terminal "
"23","spotify:track:68r1sfJbUqNsAxZ3qu6jdI","Fur alle"
"24","spotify:track:3IgpWvgCqZjqhsiKwzw1Q7","La det swinge"
"25","spotify:track:4GPT39ZGgVQm6tJJTG0wdy","Love Is"
"26","spotify:track:0NOLQCkOO2wgEaUR5y1ahK","Bra vibrationer"
"27","spotify:track:7yipL2ExEHgodu2hZ8fKbc","Pas pour moi"
"28","spotify:track:5opXus6JIe9UD94Qk24RYB","Jaime la vie"
"29","spotify:track:2ZOr703f7ckBgXRNaFLUex","Gente di mare"
"30","spotify:track:701i5AAZkiKjTFJFl4rkgq","Rechtop in de wind"
"31","spotify:track:1iHxN6pNaC8XJWQIwXO3Z2","Lass die Sonne in dein Herz"
"32","spotify:track:482pOo6IOI0qNNHxkQFEDn","Hold Me Now"
"33","spotify:track:5DgmemtjCB3OHNDlJENgtu","Ja sam za ples"
"34","spotify:track:0Kv4i96E41jbULmUajBYOe","Ne partez pas sans moi"
"35","spotify:track:6GyfAKisndo4YbOZ9K2NmB","For var jord"
"36","spotify:track:6Z7iy3XD0BF5TwnFnqpH9R","Croire"
"37","spotify:track:5R7qlPnCh9qVEtNaHIyPvh","Vi maler byen rod"
"38","spotify:track:2WXogQGOO7qo2hlHyzpwhg","Rock Me"
